"func","def","fungen","pkg","pag","fungen_bad","sinpagina"
"gList","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046",,
"gpar","Handling Grid Graphical Parameters","gpar","grid","1014",,
"gPath","Concatenate Grob Names","gPath","grid","1016",,
"Grid","Grid Graphics","Grid","grid","1017",,
"grid.abline","Draw a curve representing a function","grid.function","grid","1039",,
"grid.add","Add a Grid Graphical Object","grid.add","grid","1021",,
"grid.bezier","Draw a Bezier Curve","grid.bezier","grid","1022",,
"grid.cap","Capture a raster image","grid.cap","grid","1023",,
"grid.circle","Draw a Circle","grid.circle","grid","1024",,
"grid.clip","Set the Clipping Region","grid.clip","grid","1025",,
"grid.copy","Make a Copy of a Grid Graphical Object","grid.copy","grid","1029",,
"grid.curve","Draw a Curve Between Locations","grid.curve","grid","1029",,
"grid.define","Draw a Group","grid.group","grid","1047",,
"grid.delay","Encapsulate calculations and generating a grob","grid.delay","grid","1031",,
"grid.display.list","Control the Grid Display List","grid.display.list","grid","1032",,
"grid.DLapply","Modify the Grid Display List","grid.DLapply","grid","1033",,
"grid.draw","Draw a grid grob","grid.draw","grid","1034",,
"grid.edit","Edit the Description of a Grid Graphical Object","grid.edit","grid","1035",,
"grid.fill","Stroke or Fill a Path","grid.stroke","grid","1079",,
"grid.fillStroke","Stroke or Fill a Path","grid.stroke","grid","1079",,
"grid.force","Force a grob into its components","grid.force","grid","1036",,
"grid.force.default","Force a grob into its components","grid.force","grid","1036",,
"grid.force.gPath","Force a grob into its components","grid.force","grid","1036",,
"grid.force.grob","Force a grob into its components","grid.force","grid","1036",,
"grid.frame","Create a Frame for Packing Objects","grid.frame","grid","1038",,
"grid.function","Draw a curve representing a function","grid.function","grid","1039",,
"grid.gedit","Edit the Description of a Grid Graphical Object","grid.edit","grid","1035",,
"grid.get","Get a Grid Graphical Object","grid.get","grid","1041",,
"grid.gget","Get a Grid Graphical Object","grid.get","grid","1041",,
"grid.grab","Grab the current grid output","grid.grab","grid","1042",,
"grid.grabExpr","Grab the current grid output","grid.grab","grid","1042",,
"grid.gremove","Remove a Grid Graphical Object","grid.remove","grid","1072",,
"grid.grep","Search for Grobs and/or Viewports","grid.grep","grid","1044",,
"grid.grill","Draw a Grill","grid.grill","grid","1045",,
"grid.group","Draw a Group","grid.group","grid","1047",,
"grid.layout","Create a Grid Layout","grid.layout","grid","1049",,
"grid.legend","Constructing a Legend Grob","legendGrob","grid","1092",,
"grid.line.to","Move or Draw to a Specified Position","grid.move.to","grid","1056",,
"grid.lines","Draw Lines in a Grid Viewport","grid.lines","grid","1051",,
"grid.locator","Capture a Mouse Click","grid.locator","grid","1053",,
"grid.ls","List the names of grobs or viewports","grid.ls","grid","1054",,
"grid.move.to","Move or Draw to a Specified Position","grid.move.to","grid","1056",,
"grid.newpage","Move to a New Page on a Grid Device","grid.newpage","grid","1057",,
"grid.null","Null Graphical Object","grid.null","grid","1058",,
"grid.pack","Pack an Object within a Frame","grid.pack","grid","1059",,
"grid.path","Draw a Path","grid.path","grid","1060",,
"grid.place","Place an Object within a Frame","grid.place","grid","1063",,
"grid.plot.and.legend","A Simple Plot and Legend Demo","grid.plot.and.legend","grid","1064",,
"grid.points","Draw Data Symbols","grid.points","grid","1065",,
"grid.polygon","Draw a Polygon","grid.polygon","grid","1066",,
"grid.polyline","Draw Lines in a Grid Viewport","grid.lines","grid","1051",,
"grid.pretty","Generate a Sensible (""Pretty"") Set of Breakpoints","grid.pretty","grid","1067",,
"grid.raster","Render a raster object","grid.raster","grid","1068",,
"grid.record","Encapsulate calculations and drawing","grid.record","grid","1069",,
"grid.rect","Draw rectangles","grid.rect","grid","1070",,
"grid.refresh","Refresh the current grid scene","grid.refresh","grid","1072",,
"grid.remove","Remove a Grid Graphical Object","grid.remove","grid","1072",,
"grid.reorder","Reorder the children of a gTree","grid.reorder","grid","1073",,
"grid.revert","Force a grob into its components","grid.force","grid","1036",,
"grid.revert.gPath","Force a grob into its components","grid.force","grid","1036",,
"grid.revert.grob","Force a grob into its components","grid.force","grid","1036",,
"grid.roundrect","Draw a rectangle with rounded corners","grid.roundrect","grid","1099",,
"grid.segments","Draw Line Segments","grid.segments","grid","1075",,
"grid.set","Set a Grid Graphical Object","grid.set","grid","1076",,
"grid.show.layout","Draw a Diagram of a Grid Layout","grid.show.layout","grid","1077",,
"grid.show.viewport","Draw a Diagram of a Grid Viewport","grid.show.viewport","grid","1078",,
"grid.stroke","Stroke or Fill a Path","grid.stroke","grid","1079",,
"grid.text","Draw Text","grid.text","grid","1081",,
"grid.use","Draw a Group","grid.group","grid","1047",,
"grid.xaxis","Draw an X-Axis","grid.xaxis","grid","1083",,
"grid.xspline","Draw an Xspline","grid.xspline","grid","1084",,
"grid.yaxis","Draw a Y-Axis","grid.yaxis","grid","1086",,
"gridCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088",,
"gridGrobCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088",,
"gridGTreeCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088",,
"grob","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046",,
"grobAscent","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090",,
"grobCoords","Calculate Points on the Perimeter of a Grob","grobCoords","grid","1089",,
"grobDescent","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090",,
"grobHeight","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090",,
"grobName","Generate a Name for a Grob","grobName","grid","1089",,
"grobPathListing","List the names of grobs or viewports","grid.ls","grid","1054",,
"grobPoints","Calculate Points on the Perimeter of a Grob","grobCoords","grid","1089",,
"grobTree","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046",,
"grobWidth","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090",,
"grobX","Create a Unit Describing a Grob Boundary Location","grobX","grid","1091",,
"grobY","Create a Unit Describing a Grob Boundary Location","grobX","grid","1091",,
"groupFlip","Define a Group Transformation","viewportTransform","grid","1111",,
"groupGrob","Draw a Group","grid.group","grid","1047",,
"groupRotate","Define a Group Transformation","viewportTransform","grid","1111",,
"groupScale","Define a Group Transformation","viewportTransform","grid","1111",,
"groupShear","Define a Group Transformation","viewportTransform","grid","1111",,
"groupTranslate","Define a Group Transformation","viewportTransform","grid","1111",,
"gTree","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046",,
"heightDetails","Width and Height of a grid grob","widthDetails","grid","1113",,
"is.grob","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046",,
"isEmptyCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088",,
"legendGrob","Constructing a Legend Grob","legendGrob","grid","1092",,
"linearGradient","Define Gradient and Pattern Fills","patterns","grid","1094",,
"linesGrob","Draw Lines in a Grid Viewport","grid.lines","grid","1051",,
"lineToGrob","Move or Draw to a Specified Position","grid.move.to","grid","1056",,
"makeContent","Customised grid Grobs","makeContent","grid","1093",,
"makeContext","Customised grid Grobs","makeContent","grid","1093",,
"moveToGrob","Move or Draw to a Specified Position","grid.move.to","grid","1056",,
"nestedListing","List the names of grobs or viewports","grid.ls","grid","1054",,
"nullGrob","Null Graphical Object","grid.null","grid","1058",,
"packGrob","Pack an Object within a Frame","grid.pack","grid","1059",,
"pathGrob","Draw a Path","grid.path","grid","1060",,
"pathListing","List the names of grobs or viewports","grid.ls","grid","1054",,
"pattern","Define Gradient and Pattern Fills","patterns","grid","1094",,
"patterns","Define Gradient and Pattern Fills","patterns","grid","1094",,
"placeGrob","Place an Object within a Frame","grid.place","grid","1063",,
"plotViewport","Create a Viewport with a Standard Plot Layout","plotViewport","grid","1096",,
"pointsGrob","Draw Data Symbols","grid.points","grid","1065",,
"polygonGrob","Draw a Polygon","grid.polygon","grid","1066",,
"polylineGrob","Draw Lines in a Grid Viewport","grid.lines","grid","1051",,
"popViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595",,
"postDrawDetails","Customising grid Drawing","drawDetails","grid","1009",,
"preDrawDetails","Customising grid Drawing","drawDetails","grid","1009",,
"pushViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595",,
"radialGradient","Define Gradient and Pattern Fills","patterns","grid","1094",,
"rasterGrob","Render a raster object","grid.raster","grid","1068",,
"recordGrob","Encapsulate calculations and drawing","grid.record","grid","1069",,
"rectGrob","Draw rectangles","grid.rect","grid","1070",,
"removeGrob","Remove a Grid Graphical Object","grid.remove","grid","1072",,
"reorderGrob","Reorder the children of a gTree","grid.reorder","grid","1073",,
"resolveHJust","Validate a Justification","valid.just","grid","1109",,
"resolveRasterSize","Utility function to resolve the size of a raster grob","resolveRasterSize","grid","1098",,
"resolveVJust","Validate a Justification","valid.just","grid","1109",,
"roundrect","Draw a rectangle with rounded corners","grid.roundrect","grid","1099",,
"roundrectGrob","Draw a rectangle with rounded corners","grid.roundrect","grid","1099",,
"seekViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595",,
"segmentsGrob","Draw Line Segments","grid.segments","grid","1075",,
"setChildren","Add a Grid Graphical Object","grid.add","grid","1021",,
"setGrob","Set a Grid Graphical Object","grid.set","grid","1076",,
"showGrob","Label grid grobs.","showGrob","grid","1100",,
"showViewport","Display grid viewports.","showViewport","grid","1101",,
"stringAscent","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103",,
"stringDescent","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103",,
"stringHeight","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103",,
"stringWidth","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103",,
"strokeGrob","Stroke or Fill a Path","grid.stroke","grid","1079",,
"strokeGrob.GridPath","Stroke or Fill a Path","grid.stroke","grid","1079",,
"strokeGrob.grob","Stroke or Fill a Path","grid.stroke","grid","1079",,
"textGrob","Draw Text","grid.text","grid","1081",,
"unit","Function to Create a Unit Object","unit","grid","1103",,
"unit.c","Combine Unit Objects","unit.c","grid","1105",,
"unit.length","Length of a Unit Object","unit.length","grid","1106",,
"unit.pmax","Parallel Unit Minima and Maxima","unit.pmin","grid","1107",,
"unit.pmin","Parallel Unit Minima and Maxima","unit.pmin","grid","1107",,
"unit.psum","Parallel Unit Minima and Maxima","unit.pmin","grid","1107",,
"unit.rep","Replicate Elements of Unit Objects","unit.rep","grid","1107",,
"unitType","Return the Units of a Unit Object","unitType","grid","1108",,
"upViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595",,
"useGrob","Draw a Group","grid.group","grid","1047",,
"useRotate","Define a Group Transformation","viewportTransform","grid","1111",,
"useScale","Define a Group Transformation","viewportTransform","grid","1111",,
"useTranslate","Define a Group Transformation","viewportTransform","grid","1111",,
"valid.just","Validate a Justification","valid.just","grid","1109",,
"validDetails","Customising grid grob Validation","validDetails","grid","1110",,
"viewport","Create a Grid Viewport","viewport","grid","595",,
"viewportRotate","Define a Group Transformation","viewportTransform","grid","1111",,
"viewportScale","Define a Group Transformation","viewportTransform","grid","1111",,
"viewportTransform","Define a Group Transformation","viewportTransform","grid","1111",,
"viewportTranslate","Define a Group Transformation","viewportTransform","grid","1111",,
"vpList","Create a Grid Viewport","viewport","grid","595",,
"vpPath","Concatenate Viewport Names","vpPath","grid","1112",,
"vpStack","Create a Grid Viewport","viewport","grid","595",,
"vpTree","Create a Grid Viewport","viewport","grid","595",,
"widthDetails","Width and Height of a grid grob","widthDetails","grid","1113",,
"xaxisGrob","Draw an X-Axis","grid.xaxis","grid","1083",,
"xDetails","Boundary of a grid grob","xDetails","grid","1116",,
"xsplineGrob","Draw an Xspline","grid.xspline","grid","1084",,
"xsplinePoints","Return the points that would be used to draw an Xspline (or a Bezier curve).","xsplinePoints","grid","1117",,
"yaxisGrob","Draw a Y-Axis","grid.yaxis","grid","1086",,
"yDetails","Boundary of a grid grob","xDetails","grid","1116",,
"methods-package","Formal Methods and Classes","methods-package","methods","1119",,
"activeBindingFunction-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"anova-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"anova.glm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"anova.glm.null-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"ANY-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"aov-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"Arith","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"array-class","Classes Corresponding to Basic Structures","StructureClasses","methods","1252",,
"as","Force an Object to Belong to a Class","as","methods","1120",,
"as&lt;-","Force an Object to Belong to a Class","as","methods","1120",,
"body&lt;--method","Class MethodsList, Defunct Representation of Methods","MethodsList-class","methods","1179",,
"builtin-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"call-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357",,
"callGeneric","Call the Current Generic Function from a Method","callGeneric","methods","1123",,
"callNextMethod","Call an Inherited Method","NextMethod","methods","595",,
"canCoerce","Can an Object be Coerced to a Certain S4 Class?","canCoerce","methods","1129",,
"cbind2","Combine two Objects by Columns or Rows","cbind2","methods","1129",,
"cbind2-method","Combine two Objects by Columns or Rows","cbind2","methods","1129",,
"cbind2-methods","Combine two Objects by Columns or Rows","cbind2","methods","1129",,
"character-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"Classes","S4 Class Documentation","Classes","methods","1131",,
"classesToAM","Compute an Adjacency Matrix for Superclasses of Class Definitions","classesToAM","methods","1131",,
"Classes_Details","Class Definitions","Classes_Details","methods","1133",,
"classGeneratorFunction-class","Create a Class Definition","setClass","methods","1220",,
"className","Class names including the corresponding package","className","methods","1136",,
"className-class","Class names including the corresponding package","className","methods","1136",,
"classRepresentation-class","Class Objects","classRepresentation-class","methods","1138",,
"ClassUnionRepresentation-class","Classes Defined as the Union of Other Classes","setClassUnion","methods","1225",,
"coerce","Methods for Coercing an Object to a Class","setAs","methods","1217",,
"coerce-method","S4 Classes that Contain S3 Classes","S3Part","methods","1210",,
"coerce-method","Methods for Coercing an Object to a Class","setAs","methods","1217",,
"coerce-methods","Methods for Coercing an Object to a Class","setAs","methods","1217",,
"coerce&lt;-","Methods for Coercing an Object to a Class","setAs","methods","1217",,
"Compare","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"Complex","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"complex-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"data.frame-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"data.frameRowLabels-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"Date-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"defaultBindingFunction-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"density-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"derivedDefaultMethodWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255",,
"Documentation","Using and Creating On-line Documentation for Classes and Methods","Documentation","methods","1139",,
"Documentation-class","Using and Creating On-line Documentation for Classes and Methods","Documentation","methods","1139",,
"Documentation-methods","Using and Creating On-line Documentation for Classes and Methods","Documentation","methods","1139",,
"dotsMethods","The Use of '...' in Method Signatures","dotsMethods","methods","1140",,
"double-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"dump.frames-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"dumpMethod","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"dumpMethods","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"environment-class","Class '""environment""'","EnvironmentClass","methods","1357",,
"envRefClass-class","Class '""envRefClass""'","stdRefClass","methods","1357",,
"evalOnLoad","Set Actions For Package Loading","setLoadActions","methods","1235",,
"evalqOnLoad","Set Actions For Package Loading","setLoadActions","methods","1235",,
"evalSource","Use Function Definitions from a Source File without Reinstalling a Package","evalSource","methods","1145",,
"existsMethod","Get or Test for the Definition of a Method","getMethod","methods","1159",,
"expression-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"extends","Is an Object from a Class?","is","methods","1170",,
"externalptr-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"externalRefMethod","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"externalRefMethod-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"factor-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"findClass","Find Class Definitions","findClass","methods","1148",,
"findFunction","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"findMethod","Get or Test for the Definition of a Method","getMethod","methods","1159",,
"findMethods","Description of the Methods Defined for a Generic Function","findMethods","methods","1149",,
"findMethodSignatures","Description of the Methods Defined for a Generic Function","findMethods","methods","1149",,
"fixPre1.8","Fix Objects Saved from R Versions Previous to 1.8","fixPrevious","methods","476",,
"for-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357",,
"formula-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"function-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"functionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255",,
"genericFunction-class","Generic Function Objects","genericFunction-class","methods","1153",,
"GenericFunctions","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"genericFunctionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255",,
"getClass","Get Class Definition","getClass","methods","1157",,
"getClassDef","Get Class Definition","getClass","methods","1157",,
"getClasses","Find Class Definitions","findClass","methods","1148",,
"getGenerics","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"getLoadActions","Set Actions For Package Loading","setLoadActions","methods","1235",,
"getMethod","Get or Test for the Definition of a Method","getMethod","methods","1159",,
"getMethods","Description of the Methods Defined for a Generic Function","findMethods","methods","1149",,
"getPackageName","The Name associated with a Given Package","getPackageName","methods","1162",,
"getRefClass","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"getSlots","The Slots in an Object from a Formal Class","slot","methods","1250",,
"getValidity","Test the Validity of an Object","validObject","methods","1256",,
"glm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"glm.null-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"groupGenericFunction-class","Generic Function Objects","genericFunction-class","methods","1153",,
"GroupGenericFunctions","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"groupGenericFunctionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255",,
"hasArg","Look for an Argument in the Call","hasArg","methods","1163",,
"hasLoadAction","Set Actions For Package Loading","setLoadActions","methods","1235",,
"hasMethod","Get or Test for the Definition of a Method","getMethod","methods","1159",,
"hasMethods","Description of the Methods Defined for a Generic Function","findMethods","methods","1149",,
"hsearch-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"if-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357",,
"implicit generic","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164",,
"implicitGeneric","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164",,
"inheritedSlotNames","Names of Slots Inherited From a Super Class","inheritedSlotNames","methods","1166",,
"initFieldArgs","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"initialize","Generate an Object from a Class","new","methods","1192",,
"initialize-method","Methods to Initialize New Objects from a Class","initialize-methods","methods","1167",,
"initialize-method","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"initialize-method","Class '""envRefClass""'","stdRefClass","methods","1357",,
"initialize-method","Classes Corresponding to Basic Structures","StructureClasses","methods","1252",,
"initialize-methods","Methods to Initialize New Objects from a Class","initialize-methods","methods","1167",,
"initRefFields","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"insertSource","Use Function Definitions from a Source File without Reinstalling a Package","evalSource","methods","1145",,
"integer-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"integrate-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"Introduction","Basic use of S4 Methods and Classes","Introduction","methods","1168",,
"is","Is an Object from a Class?","is","methods","1170",,
"isClass","Find Class Definitions","findClass","methods","1148",,
"isClassUnion","Classes Defined as the Union of Other Classes","setClassUnion","methods","1225",,
"isGeneric","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"isGroup","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"isSealedClass","Check for a Sealed Method or Class","isSealedMethod","methods","1172",,
"isSealedMethod","Check for a Sealed Method or Class","isSealedMethod","methods","1172",,
"isXS3Class","S4 Classes that Contain S3 Classes","S3Part","methods","1210",,
"language-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357",,
"libraryIQR-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"LinearMethodsList-class","Class ""LinearMethodsList""","LinearMethodsList-class","methods","1174",,
"list-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"listOfMethods-class","Description of the Methods Defined for a Generic Function","findMethods","methods","1149",,
"lm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"localRefClass-class","Localized Objects based on Reference Classes","localRefClass","methods","1357",,
"LocalReferenceClasses","Localized Objects based on Reference Classes","localRefClass","methods","1357",,
"Logic","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"logical-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"logLik-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"makeClassRepresentation","Create a Class Definition","setSClass","methods","1357",,
"maov-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"Math","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"Math-method","A non-structure S4 Class for basic types","nonStructure-class","methods","1194",,
"Math-method","Classes Corresponding to Basic Structures","StructureClasses","methods","1252",,
"Math2","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"Math2-method","A non-structure S4 Class for basic types","nonStructure-class","methods","1194",,
"matrix-class","Classes Corresponding to Basic Structures","StructureClasses","methods","1252",,
"method.skeleton","Create a Skeleton File for a New Method","method.skeleton","methods","1177",,
"MethodDefinition-class","Classes to Represent Method Definitions","MethodDefinition-class","methods","1178",,
"MethodDefinitionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255",,
"Methods","S4 Class Documentation","Methods","methods","1179",,
"MethodSelectionReport-class","Test for and Report about Selection of Inherited Methods","testInheritedMethods","methods","1254",,
"MethodsList-class","Class MethodsList, Defunct Representation of Methods","MethodsList-class","methods","1179",,
"Methods_Details","General Information on Methods","Methods_Details","methods","1180",,
"Methods_for_Nongenerics","Methods for Non-Generic Functions in Other Packages","Methods_for_Nongenerics","methods","1184",,
"Methods_for_S3","Methods For S3 and S4 Dispatch","Methods_for_S3","methods","1189",,
"MethodWithNext-class","Class MethodWithNext","MethodWithNext-class","methods","1191",,
"MethodWithNextWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255",,
"missing-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"mlm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"mtable-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"mts-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"multipleClasses","Class names including the corresponding package","className","methods","1136",,
"name-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357",,
"namedList-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"new","Generate an Object from a Class","new","methods","1192",,
"nonstandardGenericWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255",,
"nonStructure-class","A non-structure S4 Class for basic types","nonStructure-class","methods","1194",,
"NULL-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"numeric-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"ObjectsWithPackage-class","A Vector of Object Names, with associated Package Names","ObjectsWithPackage-class","methods","1194",,
"oldClass-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"Ops","S4 Group Generic Functions","S4groupGeneric","methods","1213",,
"Ops-method","A non-structure S4 Class for basic types","nonStructure-class","methods","1194",,
"Ops-method","Classes Corresponding to Basic Structures","StructureClasses","methods","1252",,
"ordered-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"packageInfo-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"packageIQR-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"packageSlot","The Name associated with a Given Package","getPackageName","methods","1162",,
"packageSlot&lt;-","The Name associated with a Given Package","getPackageName","methods","1162",,
"POSIXct-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"POSIXlt-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"POSIXt-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"prohibitGeneric","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164",,
"promptClass","Generate a Shell for Documentation of a Formal Class","promptClass","methods","1195",,
"promptMethods","Generate a Shell for Documentation of Formal Methods","promptMethods","methods","1196",,
"prototype","Construct a Representation or a Prototype for a Class Definition","representation","methods","1209",,
"raw-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122",,
"rbind2","Combine two Objects by Columns or Rows","cbind2","methods","1129",,
"rbind2-method","Combine two Objects by Columns or Rows","cbind2","methods","1129",,
"rbind2-methods","Combine two Objects by Columns or Rows","cbind2","methods","1129",,
"recordedplot-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"refClass-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"refClassRepresentation-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"ReferenceClasses","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"refGeneratorSlot-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"refMethodDef-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"refMethodDefWithTrace-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"refObject-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"refObjectGenerator-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357",,
"registerImplicitGenerics","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164",,
"removeClass","Find Class Definitions","findClass","methods","1148",,
"removeGeneric","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"removeMethod","Remove a Method","removeMethod","methods","1208",,
"removeMethods","Tools for Managing Generic Functions","GenericFunctions","methods","1154",,
"repeat-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357",,
"representation","Construct a Representation or a Prototype for a Class Definition","representation","methods","1209",,
"resetClass","Find Class Definitions","findClass","methods","1148",,
"rle-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242",,
"S3","S4 Classes that Contain S3 Classes","S3Part","methods","1210",,
"S3-class","S4 Classes that Contain S3 Classes","S3Part","methods","1210",,
"S3Class","S4 Classes that Contain S3 Classes","S3Part","methods","1210",,
"S3Class&lt;-","S4 Classes that Contain S3 Classes","S3Part","methods","1210",,
"S3Part","S4 Classes that Contain S3 Classes","S3Part","methods","1210",,
