"","func","def","fungen","pkg","pag"
"1415","gridGrobCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088"
"1422","gridGTreeCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088"
"1432","grob","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046"
"1442","grobAscent","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090"
"1452","grobCoords","Calculate Points on the Perimeter of a Grob","grobCoords","grid","1089"
"1462","grobDescent","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090"
"1472","grobHeight","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090"
"1482","grobName","Generate a Name for a Grob","grobName","grid","1089"
"1492","grobPathListing","List the names of grobs or viewports","grid.ls","grid","1054"
"1502","grobPoints","Calculate Points on the Perimeter of a Grob","grobCoords","grid","1089"
"1515","grobTree","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046"
"1522","grobWidth","Create a Unit Describing the Width of a Grob","grobWidth","grid","1090"
"1532","grobX","Create a Unit Describing a Grob Boundary Location","grobX","grid","1091"
"1542","grobY","Create a Unit Describing a Grob Boundary Location","grobX","grid","1091"
"1552","groupFlip","Define a Group Transformation","viewportTransform","grid","1111"
"1562","groupGrob","Draw a Group","grid.group","grid","1047"
"1572","groupRotate","Define a Group Transformation","viewportTransform","grid","1111"
"1582","groupScale","Define a Group Transformation","viewportTransform","grid","1111"
"1592","groupShear","Define a Group Transformation","viewportTransform","grid","1111"
"1602","groupTranslate","Define a Group Transformation","viewportTransform","grid","1111"
"1615","gTree","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046"
"1622","heightDetails","Width and Height of a grid grob","widthDetails","grid","1113"
"1632","is.grob","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046"
"1642","isEmptyCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088"
"1652","legendGrob","Constructing a Legend Grob","legendGrob","grid","1092"
"1662","linearGradient","Define Gradient and Pattern Fills","patterns","grid","1094"
"1672","linesGrob","Draw Lines in a Grid Viewport","grid.lines","grid","1051"
"1681","lineToGrob","Move or Draw to a Specified Position","grid.move.to","grid","1056"
"1691","makeContent","Customised grid Grobs","makeContent","grid","1093"
"1701","makeContext","Customised grid Grobs","makeContent","grid","1093"
"1714","moveToGrob","Move or Draw to a Specified Position","grid.move.to","grid","1056"
"1721","nestedListing","List the names of grobs or viewports","grid.ls","grid","1054"
"1731","nullGrob","Null Graphical Object","grid.null","grid","1058"
"1741","packGrob","Pack an Object within a Frame","grid.pack","grid","1059"
"1751","pathGrob","Draw a Path","grid.path","grid","1060"
"1761","pathListing","List the names of grobs or viewports","grid.ls","grid","1054"
"1771","pattern","Define Gradient and Pattern Fills","patterns","grid","1094"
"1781","patterns","Define Gradient and Pattern Fills","patterns","grid","1094"
"1791","placeGrob","Place an Object within a Frame","grid.place","grid","1063"
"1801","plotViewport","Create a Viewport with a Standard Plot Layout","plotViewport","grid","1096"
"1814","pointsGrob","Draw Data Symbols","grid.points","grid","1065"
"1821","polygonGrob","Draw a Polygon","grid.polygon","grid","1066"
"1831","polylineGrob","Draw Lines in a Grid Viewport","grid.lines","grid","1051"
"1841","popViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595"
"1851","postDrawDetails","Customising grid Drawing","drawDetails","grid","1009"
"1861","preDrawDetails","Customising grid Drawing","drawDetails","grid","1009"
"1871","pushViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595"
"1881","radialGradient","Define Gradient and Pattern Fills","patterns","grid","1094"
"1891","rasterGrob","Render a raster object","grid.raster","grid","1068"
"1901","recordGrob","Encapsulate calculations and drawing","grid.record","grid","1069"
"1914","rectGrob","Draw rectangles","grid.rect","grid","1070"
"1921","removeGrob","Remove a Grid Graphical Object","grid.remove","grid","1072"
"1931","reorderGrob","Reorder the children of a gTree","grid.reorder","grid","1073"
"1941","resolveHJust","Validate a Justification","valid.just","grid","1109"
"1951","resolveRasterSize","Utility function to resolve the size of a raster grob","resolveRasterSize","grid","1098"
"1961","resolveVJust","Validate a Justification","valid.just","grid","1109"
"1971","roundrect","Draw a rectangle with rounded corners","grid.roundrect","grid","1099"
"1981","roundrectGrob","Draw a rectangle with rounded corners","grid.roundrect","grid","1099"
"1991","seekViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595"
"2001","segmentsGrob","Draw Line Segments","grid.segments","grid","1075"
"2014","setChildren","Add a Grid Graphical Object","grid.add","grid","1021"
"2021","setGrob","Set a Grid Graphical Object","grid.set","grid","1076"
"2031","showGrob","Label grid grobs.","showGrob","grid","1100"
"2041","showViewport","Display grid viewports.","showViewport","grid","1101"
"2051","stringAscent","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103"
"2061","stringDescent","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103"
"2071","stringHeight","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103"
"2081","stringWidth","Create a Unit Describing the Width and Height of a String or Math Expression","stringWidth","grid","1103"
"2091","strokeGrob","Stroke or Fill a Path","grid.stroke","grid","1079"
"2105","strokeGrob.GridPath","Stroke or Fill a Path","grid.stroke","grid","1079"
"2114","strokeGrob.grob","Stroke or Fill a Path","grid.stroke","grid","1079"
"2121","textGrob","Draw Text","grid.text","grid","1081"
"2131","unit","Function to Create a Unit Object","unit","grid","1103"
"2141","unit.c","Combine Unit Objects","unit.c","grid","1105"
"2151","unit.length","Length of a Unit Object","unit.length","grid","1106"
"2161","unit.pmax","Parallel Unit Minima and Maxima","unit.pmin","grid","1107"
"2171","unit.pmin","Parallel Unit Minima and Maxima","unit.pmin","grid","1107"
"2181","unit.psum","Parallel Unit Minima and Maxima","unit.pmin","grid","1107"
"2191","unit.rep","Replicate Elements of Unit Objects","unit.rep","grid","1107"
"2201","unitType","Return the Units of a Unit Object","unitType","grid","1108"
"2214","upViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595"
"2221","useGrob","Draw a Group","grid.group","grid","1047"
"2231","useRotate","Define a Group Transformation","viewportTransform","grid","1111"
"2241","useScale","Define a Group Transformation","viewportTransform","grid","1111"
"2251","useTranslate","Define a Group Transformation","viewportTransform","grid","1111"
"2261","valid.just","Validate a Justification","valid.just","grid","1109"
"2271","validDetails","Customising grid grob Validation","validDetails","grid","1110"
"2281","viewport","Create a Grid Viewport","viewport","grid","595"
"2291","viewportRotate","Define a Group Transformation","viewportTransform","grid","1111"
"2301","viewportScale","Define a Group Transformation","viewportTransform","grid","1111"
"2314","viewportTransform","Define a Group Transformation","viewportTransform","grid","1111"
"2321","viewportTranslate","Define a Group Transformation","viewportTransform","grid","1111"
"2331","vpList","Create a Grid Viewport","viewport","grid","595"
"2341","vpPath","Concatenate Viewport Names","vpPath","grid","1112"
"2351","vpStack","Create a Grid Viewport","viewport","grid","595"
"2361","vpTree","Create a Grid Viewport","viewport","grid","595"
"2371","widthDetails","Width and Height of a grid grob","widthDetails","grid","1113"
"2381","xaxisGrob","Draw an X-Axis","grid.xaxis","grid","1083"
"2391","xDetails","Boundary of a grid grob","xDetails","grid","1116"
"2401","xsplineGrob","Draw an Xspline","grid.xspline","grid","1084"
"2414","xsplinePoints","Return the points that would be used to draw an Xspline (or a Bezier curve).","xsplinePoints","grid","1117"
"2421","yaxisGrob","Draw a Y-Axis","grid.yaxis","grid","1086"
"2431","yDetails","Boundary of a grid grob","xDetails","grid","1116"
"2106","methods-package","Formal Methods and Classes","methods-package","methods","1119"
"3105","activeBindingFunction-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"4105","anova-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"5105","anova.glm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"6105","anova.glm.null-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"7105","ANY-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"8105","aov-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"9105","Arith","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"10105","array-class","Classes Corresponding to Basic Structures","StructureClasses","methods","1252"
"11104","as","Force an Object to Belong to a Class","as","methods","1120"
"1293","as&lt;-","Force an Object to Belong to a Class","as","methods","1120"
"1316","body&lt;--method","Class MethodsList, Defunct Representation of Methods","MethodsList-class","methods","1179"
"1416","builtin-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"1516","call-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357"
"1616","callGeneric","Call the Current Generic Function from a Method","callGeneric","methods","1123"
"1715","callNextMethod","Call an Inherited Method","NextMethod","methods","595"
"1815","canCoerce","Can an Object be Coerced to a Certain S4 Class?","canCoerce","methods","1129"
"1915","cbind2","Combine two Objects by Columns or Rows","cbind2","methods","1129"
"2015","cbind2-method","Combine two Objects by Columns or Rows","cbind2","methods","1129"
"2115","cbind2-methods","Combine two Objects by Columns or Rows","cbind2","methods","1129"
"2215","character-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"2315","Classes","S4 Class Documentation","Classes","methods","1131"
"2415","classesToAM","Compute an Adjacency Matrix for Superclasses of Class Definitions","classesToAM","methods","1131"
"2514","Classes_Details","Class Definitions","Classes_Details","methods","1133"
"2614","classGeneratorFunction-class","Create a Class Definition","setClass","methods","1220"
"2714","className","Class names including the corresponding package","className","methods","1136"
"2814","className-class","Class names including the corresponding package","className","methods","1136"
"2914","classRepresentation-class","Class Objects","classRepresentation-class","methods","1138"
"3014","ClassUnionRepresentation-class","Classes Defined as the Union of Other Classes","setClassUnion","methods","1225"
"3114","coerce","Methods for Coercing an Object to a Class","setAs","methods","1217"
"3214","coerce-method","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"3314","coerce-method","Methods for Coercing an Object to a Class","setAs","methods","1217"
"3414","coerce-methods","Methods for Coercing an Object to a Class","setAs","methods","1217"
"3514","coerce&lt;-","Methods for Coercing an Object to a Class","setAs","methods","1217"
"3614","Compare","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"3714","Complex","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"3814","complex-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"3914","data.frame-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"4014","data.frameRowLabels-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"4114","Date-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"4214","defaultBindingFunction-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"4314","density-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"4414","derivedDefaultMethodWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"4514","Documentation","Using and Creating On-line Documentation for Classes and Methods","Documentation","methods","1139"
"4614","Documentation-class","Using and Creating On-line Documentation for Classes and Methods","Documentation","methods","1139"
"4714","Documentation-methods","Using and Creating On-line Documentation for Classes and Methods","Documentation","methods","1139"
"4814","dotsMethods","The Use of '...' in Method Signatures","dotsMethods","methods","1140"
"4914","double-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"5014","dump.frames-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"5114","dumpMethod","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"5214","dumpMethods","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"5314","environment-class","Class '""environment""'","EnvironmentClass","methods","1357"
"5414","envRefClass-class","Class '""envRefClass""'","stdRefClass","methods","1357"
"5514","evalOnLoad","Set Actions For Package Loading","setLoadActions","methods","1235"
"5614","evalqOnLoad","Set Actions For Package Loading","setLoadActions","methods","1235"
"5714","evalSource","Use Function Definitions from a Source File without Reinstalling a Package","evalSource","methods","1145"
"5814","existsMethod","Get or Test for the Definition of a Method","getMethod","methods","1159"
"5914","expression-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"6014","extends","Is an Object from a Class?","is","methods","1170"
"6114","externalptr-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"6214","externalRefMethod","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"6314","externalRefMethod-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"6414","factor-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"6514","findClass","Find Class Definitions","findClass","methods","1148"
"6614","findFunction","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"6714","findMethod","Get or Test for the Definition of a Method","getMethod","methods","1159"
"6814","findMethods","Description of the Methods Defined for a Generic Function","findMethods","methods","1149"
"6914","findMethodSignatures","Description of the Methods Defined for a Generic Function","findMethods","methods","1149"
"7014","fixPre1.8","Fix Objects Saved from R Versions Previous to 1.8","fixPrevious","methods","476"
"7114","for-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357"
"7214","formula-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"7314","function-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"7414","functionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"7514","genericFunction-class","Generic Function Objects","genericFunction-class","methods","1153"
"7614","GenericFunctions","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"7714","genericFunctionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"7814","getClass","Get Class Definition","getClass","methods","1157"
"7914","getClassDef","Get Class Definition","getClass","methods","1157"
"8014","getClasses","Find Class Definitions","findClass","methods","1148"
"8114","getGenerics","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"8214","getLoadActions","Set Actions For Package Loading","setLoadActions","methods","1235"
"8314","getMethod","Get or Test for the Definition of a Method","getMethod","methods","1159"
"8414","getMethods","Description of the Methods Defined for a Generic Function","findMethods","methods","1149"
"8514","getPackageName","The Name associated with a Given Package","getPackageName","methods","1162"
"8614","getRefClass","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"8714","getSlots","The Slots in an Object from a Formal Class","slot","methods","1250"
"8814","getValidity","Test the Validity of an Object","validObject","methods","1256"
"8914","glm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"9014","glm.null-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"9114","groupGenericFunction-class","Generic Function Objects","genericFunction-class","methods","1153"
"9214","GroupGenericFunctions","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"9314","groupGenericFunctionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"9414","hasArg","Look for an Argument in the Call","hasArg","methods","1163"
"9514","hasLoadAction","Set Actions For Package Loading","setLoadActions","methods","1235"
"9614","hasMethod","Get or Test for the Definition of a Method","getMethod","methods","1159"
"9714","hasMethods","Description of the Methods Defined for a Generic Function","findMethods","methods","1149"
"9814","hsearch-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"9914","if-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357"
"10013","implicit generic","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164"
"10113","implicitGeneric","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164"
"10213","inheritedSlotNames","Names of Slots Inherited From a Super Class","inheritedSlotNames","methods","1166"
"10313","initFieldArgs","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"10413","initialize","Generate an Object from a Class","new","methods","1192"
"10513","initialize-method","Methods to Initialize New Objects from a Class","initialize-methods","methods","1167"
"10613","initialize-method","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"10713","initialize-method","Class '""envRefClass""'","stdRefClass","methods","1357"
"10813","initialize-method","Classes Corresponding to Basic Structures","StructureClasses","methods","1252"
"10913","initialize-methods","Methods to Initialize New Objects from a Class","initialize-methods","methods","1167"
"11013","initRefFields","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"11112","insertSource","Use Function Definitions from a Source File without Reinstalling a Package","evalSource","methods","1145"
"11212","integer-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"11312","integrate-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"11412","Introduction","Basic use of S4 Methods and Classes","Introduction","methods","1168"
"11512","is","Is an Object from a Class?","is","methods","1170"
"11612","isClass","Find Class Definitions","findClass","methods","1148"
"11712","isClassUnion","Classes Defined as the Union of Other Classes","setClassUnion","methods","1225"
"11812","isGeneric","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"11912","isGroup","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"12012","isSealedClass","Check for a Sealed Method or Class","isSealedMethod","methods","1172"
"12112","isSealedMethod","Check for a Sealed Method or Class","isSealedMethod","methods","1172"
"12212","isXS3Class","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"12312","language-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357"
"12412","libraryIQR-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"12512","LinearMethodsList-class","Class ""LinearMethodsList""","LinearMethodsList-class","methods","1174"
"12612","list-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"12712","listOfMethods-class","Description of the Methods Defined for a Generic Function","findMethods","methods","1149"
"12811","lm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1294","localRefClass-class","Localized Objects based on Reference Classes","localRefClass","methods","1357"
"1303","LocalReferenceClasses","Localized Objects based on Reference Classes","localRefClass","methods","1357"
"1317","Logic","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"1323","logical-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"1333","logLik-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1343","makeClassRepresentation","Create a Class Definition","setSClass","methods","1357"
"1353","maov-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1363","Math","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"1373","Math-method","A non-structure S4 Class for basic types","nonStructure-class","methods","1194"
"1383","Math-method","Classes Corresponding to Basic Structures","StructureClasses","methods","1252"
"1393","Math2","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"1403","Math2-method","A non-structure S4 Class for basic types","nonStructure-class","methods","1194"
"1417","matrix-class","Classes Corresponding to Basic Structures","StructureClasses","methods","1252"
"1423","method.skeleton","Create a Skeleton File for a New Method","method.skeleton","methods","1177"
"1433","MethodDefinition-class","Classes to Represent Method Definitions","MethodDefinition-class","methods","1178"
"1443","MethodDefinitionWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"1453","Methods","S4 Class Documentation","Methods","methods","1179"
"1463","MethodSelectionReport-class","Test for and Report about Selection of Inherited Methods","testInheritedMethods","methods","1254"
"1473","MethodsList-class","Class MethodsList, Defunct Representation of Methods","MethodsList-class","methods","1179"
"1483","Methods_Details","General Information on Methods","Methods_Details","methods","1180"
"1493","Methods_for_Nongenerics","Methods for Non-Generic Functions in Other Packages","Methods_for_Nongenerics","methods","1184"
"1503","Methods_for_S3","Methods For S3 and S4 Dispatch","Methods_for_S3","methods","1189"
"1517","MethodWithNext-class","Class MethodWithNext","MethodWithNext-class","methods","1191"
"1523","MethodWithNextWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"1533","missing-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"1543","mlm-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1553","mtable-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1563","mts-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1573","multipleClasses","Class names including the corresponding package","className","methods","1136"
"1583","name-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357"
"1593","namedList-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"1603","new","Generate an Object from a Class","new","methods","1192"
"1617","nonstandardGenericWithTrace-class","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"1623","nonStructure-class","A non-structure S4 Class for basic types","nonStructure-class","methods","1194"
"1633","NULL-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"1643","numeric-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"1653","ObjectsWithPackage-class","A Vector of Object Names, with associated Package Names","ObjectsWithPackage-class","methods","1194"
"1663","oldClass-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1673","Ops","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"1682","Ops-method","A non-structure S4 Class for basic types","nonStructure-class","methods","1194"
"1692","Ops-method","Classes Corresponding to Basic Structures","StructureClasses","methods","1252"
"1702","ordered-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1716","packageInfo-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1722","packageIQR-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1732","packageSlot","The Name associated with a Given Package","getPackageName","methods","1162"
"1742","packageSlot&lt;-","The Name associated with a Given Package","getPackageName","methods","1162"
"1752","POSIXct-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1762","POSIXlt-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1772","POSIXt-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1782","prohibitGeneric","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164"
"1792","promptClass","Generate a Shell for Documentation of a Formal Class","promptClass","methods","1195"
"1802","promptMethods","Generate a Shell for Documentation of Formal Methods","promptMethods","methods","1196"
"1816","prototype","Construct a Representation or a Prototype for a Class Definition","representation","methods","1209"
"1822","raw-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"1832","rbind2","Combine two Objects by Columns or Rows","cbind2","methods","1129"
"1842","rbind2-method","Combine two Objects by Columns or Rows","cbind2","methods","1129"
"1852","rbind2-methods","Combine two Objects by Columns or Rows","cbind2","methods","1129"
"1862","recordedplot-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"1872","refClass-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1882","refClassRepresentation-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1892","ReferenceClasses","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1902","refGeneratorSlot-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1916","refMethodDef-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1922","refMethodDefWithTrace-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1932","refObject-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1942","refObjectGenerator-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"1952","registerImplicitGenerics","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164"
"1962","removeClass","Find Class Definitions","findClass","methods","1148"
"1972","removeGeneric","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"1982","removeMethod","Remove a Method","removeMethod","methods","1208"
"1992","removeMethods","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"2002","repeat-class","Classes to Represent Unevaluated Language Objects","LanguageClasses","methods","1357"
"2016","representation","Construct a Representation or a Prototype for a Class Definition","representation","methods","1209"
"2022","resetClass","Find Class Definitions","findClass","methods","1148"
"2032","rle-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"2042","S3","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2052","S3-class","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2062","S3Class","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2072","S3Class&lt;-","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2082","S3Part","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2092","S3Part&lt;-","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2107","S4","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2116","S4-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"2122","S4groupGeneric","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"2132","SClassExtension-class","Class to Represent Inheritance (Extension) Relations","SClassExtension-class","methods","1215"
"2142","sealClass","Find Class Definitions","findClass","methods","1148"
"2152","SealedMethodDefinition-class","Classes to Represent Method Definitions","MethodDefinition-class","methods","1178"
"2162","selectMethod","Get or Test for the Definition of a Method","getMethod","methods","1159"
"2172","selectSuperClasses","Super Classes (of Specific Kinds) of a Class","selectSuperClasses","methods","1216"
"2182","setAs","Methods for Coercing an Object to a Class","setAs","methods","1217"
"2192","setClass","Create a Class Definition","setClass","methods","1220"
"2202","setClassUnion","Classes Defined as the Union of Other Classes","setClassUnion","methods","1225"
"2216","setGeneric","Create a Generic Version of a Function","setGeneric","methods","1226"
"2222","setGenericImplicit","Manage Implicit Versions of Generic Functions","implicitGeneric","methods","1164"
"2232","setGroupGeneric","Create a Group Generic Version of a Function","setGroupGeneric","methods","1230"
"2242","setIs","Specify a Superclass Explicitly","setIs","methods","1231"
"2252","setLoadAction","Set Actions For Package Loading","setLoadActions","methods","1235"
"2262","setLoadActions","Set Actions For Package Loading","setLoadActions","methods","1235"
"2272","setMethod","Create and Save a Method","setMethod","methods","1238"
"2282","setOldClass","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"2292","setPackageName","The Name associated with a Given Package","getPackageName","methods","1162"
"2302","setRefClass","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"2316","setReplaceMethod","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"2322","setValidity","Test the Validity of an Object","validObject","methods","1256"
"2332","show","Show an Object","show","methods","1245"
"2342","show-method","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
"2352","show-method","Show an Object","show","methods","1245"
"2362","show-method","Class '""signature""' For Method Definitions","signature-class","methods","1249"
"2372","show-method","Classes Corresponding to Basic Structures","StructureClasses","methods","1252"
"2382","show-method","Classes Used Internally to Control Tracing","TraceClasses","methods","1255"
"2392","show-methods","Show an Object","show","methods","1245"
"2402","showMethods","Show all the methods for the specified function(s) or class","showMethods","methods","1247"
"2416","signature","Tools for Managing Generic Functions","GenericFunctions","methods","1154"
"2422","signature-class","Class '""signature""' For Method Definitions","signature-class","methods","1249"
"2432","single-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"2441","slot","The Slots in an Object from a Formal Class","slot","methods","1250"
"2451","slot&lt;-","The Slots in an Object from a Formal Class","slot","methods","1250"
"2461","slotNames","The Slots in an Object from a Formal Class","slot","methods","1250"
"2471","slotsFromS3","S4 Classes that Contain S3 Classes","S3Part","methods","1210"
"2481","socket-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"2491","sourceEnvironment-class","Use Function Definitions from a Source File without Reinstalling a Package","evalSource","methods","1145"
"2501","special-class","Classes Corresponding to Basic Data Types","BasicClasses","methods","1122"
"2515","structure-class","Classes Corresponding to Basic Structures","StructureClasses","methods","1252"
"2521","Summary","S4 Group Generic Functions","S4groupGeneric","methods","1213"
"2531","summary.table-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"2541","summaryDefault-class","Register Old-Style (S3) Classes and Inheritance","setOldClass","methods","1242"
"2551","SuperClassMethod-class","Objects With Fields Treated by Reference (OOP-style)","refClass","methods","1357"
