"","func","def","fungen","pkg","pag"
"1372","state.area","US State Facts and Figures","state","datasets","721"
"1373","state.center","US State Facts and Figures","state","datasets","721"
"1374","state.division","US State Facts and Figures","state","datasets","721"
"1375","state.name","US State Facts and Figures","state","datasets","721"
"1376","state.region","US State Facts and Figures","state","datasets","721"
"1377","state.x77","US State Facts and Figures","state","datasets","721"
"1378","sunspot.month","Monthly Sunspot Data, from 1749 to ""Present""","sunspot.month","datasets","722"
"1379","sunspot.year","Yearly Sunspot Data, 1700-1988","sunspot.year","datasets","723"
"1380","sunspots","Monthly Sunspot Numbers, 1749-1983","sunspots","datasets","724"
"1381","swiss","Swiss Fertility and Socioeconomic Indicators (1888) Data","swiss","datasets","725"
"1382","Theoph","Pharmacokinetics of Theophylline","Theoph","datasets","726"
"1383","Titanic","Survival of passengers on the Titanic","Titanic","datasets","727"
"1384","ToothGrowth","The Effect of Vitamin C on Tooth Growth in Guinea Pigs","ToothGrowth","datasets","728"
"1385","treering","Yearly Treering Data, -6000-1979","treering","datasets","729"
"1386","trees","Diameter, Height and Volume for Black Cherry Trees","trees","datasets","730"
"1387","UCBAdmissions","Student Admissions at UC Berkeley","UCBAdmissions","datasets","731"
"1388","UKDriverDeaths","Road Casualties in Great Britain 1969-84","UKDriverDeaths","datasets","732"
"1389","UKgas","UK Quarterly Gas Consumption","UKgas","datasets","733"
"1390","UKLungDeaths","Monthly Deaths from Lung Diseases in the UK","UKLungDeaths","datasets","734"
"1391","USAccDeaths","Accidental Deaths in the US 1973-1978","USAccDeaths","datasets","734"
"1392","USArrests","Violent Crime Rates by US State","USArrests","datasets","735"
"1393","UScitiesD","Distances Between European Cities and Between US Cities","eurodist","datasets","688"
"1394","USJudgeRatings","Lawyers' Ratings of State Judges in the US Superior Court","USJudgeRatings","datasets","736"
"1395","USPersonalExpenditure","Personal Expenditure Data","USPersonalExpenditure","datasets","737"
"1396","uspop","Populations Recorded by the US Census","uspop","datasets","737"
"1397","VADeaths","Death Rates in Virginia (1940)","VADeaths","datasets","738"
"1398","volcano","Topographic Information on Auckland's Maunga Whau Volcano","volcano","datasets","739"
"1399","warpbreaks","The Number of Breaks in Yarn during Weaving","warpbreaks","datasets","739"
"1400","women","Average Heights and Weights for American Women","women","datasets","740"
"1401","WorldPhones","The World's Telephones","WorldPhones","datasets","741"
"1402","WWWusage","Internet Usage per Minute","WWWusage","datasets","742"
"1403","grDevices-package","The R Graphics Devices and Support for Colours and Fonts",".Device","grDevices","4"
"1404","adjustcolor","Adjust Colors in One or More Directions Conveniently.","adjustcolor","grDevices","743"
"1405","as.graphicsAnnot","Coerce an Object for Graphics Annotation","as.graphicsAnnot","grDevices","745"
"1406","as.raster","Create a Raster Object","as.raster","grDevices","745"
"1407","as.raster.array","Create a Raster Object","as.raster","grDevices","745"
"1408","as.raster.character","Create a Raster Object","as.raster","grDevices","745"
"1409","as.raster.logical","Create a Raster Object","as.raster","grDevices","745"
"1410","as.raster.matrix","Create a Raster Object","as.raster","grDevices","745"
"1411","as.raster.numeric","Create a Raster Object","as.raster","grDevices","745"
"1412","as.raster.raw","Create a Raster Object","as.raster","grDevices","745"
"1413","atop","Mathematical Annotation in R","plotmath","grDevices","810"
"1414","axisTicks","Compute Pretty Axis Tick Scales","axisTicks","grDevices","747"
"1415","bar","Mathematical Annotation in R","plotmath","grDevices","810"
"1416","bgroup","Mathematical Annotation in R","plotmath","grDevices","810"
"1417","bitmap","Graphics Device for Bitmap Files via Ghostscript","dev2bitmap","grDevices","773"
"1418","blues9","Colors for Smooth Density Plots","densCols","grDevices","764"
"1419","bmp","BMP, JPEG, PNG and TIFF graphics devices","png","grDevices","815"
"1420","bold","Mathematical Annotation in R","plotmath","grDevices","810"
"1421","bolditalic","Mathematical Annotation in R","plotmath","grDevices","810"
"1422","boxplot.stats","Box Plot Statistics","boxplot.stats","grDevices","748"
"1423","bringToTop","Assign Focus to a Window","bringToTop","grDevices","750"
"1424","cairoSymbolFont","Specify a Symbol Font","cairoSymbolFont","grDevices","753"
"1425","cairo_pdf","Cairographics-based SVG, PDF and PostScript Graphics Devices","cairo","grDevices","751"
"1426","cairo_ps","Cairographics-based SVG, PDF and PostScript Graphics Devices","cairo","grDevices","751"
"1427","check.options","Set Options with Consistency Checks","check.options","grDevices","754"
"1428","chull","Compute Convex Hull of a Set of Points","chull","grDevices","755"
"1429","CIDFont","Type 1 and CID Fonts","Type1Font","grDevices","840"
"1430","cm","Unit Transformation","cm","grDevices","756"
"1431","cm.colors","Color Palettes","palettes","grDevices","595"
"1432","col2rgb","Color to RGB Conversion","col2rgb","grDevices","756"
"1433","colorConverter","Create colour spaces","make.rgb","grDevices","792"
"1434","colorRamp","Color interpolation","colorRamp","grDevices","758"
"1435","colorRampPalette","Color interpolation","colorRamp","grDevices","758"
"1436","colors","Color Names","colors","grDevices","760"
"1437","colorspaces","Convert between Colour Spaces","convertColor","grDevices","762"
"1438","colours","Color Names","colors","grDevices","760"
"1439","contourLines","Calculate Contour Lines","contourLines","grDevices","761"
"1440","convertColor","Convert between Colour Spaces","convertColor","grDevices","762"
"1441","densCols","Colors for Smooth Density Plots","densCols","grDevices","764"
"1442","dev.capabilities","Query Capabilities of the Current Graphics Device","dev.capabilities","grDevices","767"
"1443","dev.capture","Capture device output as a raster image","dev.capture","grDevices","768"
"1444","dev.control","Copy Graphics Between Multiple Devices","dev2","grDevices","771"
"1445","dev.copy","Copy Graphics Between Multiple Devices","dev2","grDevices","771"
"1446","dev.copy2eps","Copy Graphics Between Multiple Devices","dev2","grDevices","771"
"1447","dev.copy2pdf","Copy Graphics Between Multiple Devices","dev2","grDevices","771"
"1448","dev.cur","Control Multiple Devices","dev","grDevices","765"
"1449","dev.flush","Hold or Flush Output on an On-Screen Graphics Device.","dev.flush","grDevices","769"
"1450","dev.hold","Hold or Flush Output on an On-Screen Graphics Device.","dev.flush","grDevices","769"
"1451","dev.interactive","Is the Current Graphics Device Interactive?","dev.interactive","grDevices","769"
"1452","dev.list","Control Multiple Devices","dev","grDevices","765"
"1453","dev.new","Control Multiple Devices","dev","grDevices","765"
"1454","dev.next","Control Multiple Devices","dev","grDevices","765"
"1455","dev.off","Control Multiple Devices","dev","grDevices","765"
"1456","dev.prev","Control Multiple Devices","dev","grDevices","765"
"1457","dev.print","Copy Graphics Between Multiple Devices","dev2","grDevices","771"
"1458","dev.set","Control Multiple Devices","dev","grDevices","765"
"1459","dev.size","Find Size of Device Surface","dev.size","grDevices","770"
"1460","dev2bitmap","Graphics Device for Bitmap Files via Ghostscript","dev2bitmap","grDevices","773"
"1461","devAskNewPage","Prompt before New Page","devAskNewPage","grDevices","775"
"1462","device","List of Graphical Devices",".Device","grDevices","4"
"1463","deviceIsInteractive","Is the Current Graphics Device Interactive?","dev.interactive","grDevices","769"
"1464","Devices","List of Graphical Devices",".Device","grDevices","4"
"1465","displaystyle","Mathematical Annotation in R","plotmath","grDevices","810"
"1466","dot","Mathematical Annotation in R","plotmath","grDevices","810"
"1467","embedFonts","Embed Fonts in PostScript and PDF","embedFonts","grDevices","777"
"1468","extendrange","Extend a Numerical Range by a Small Percentage","extendrange","grDevices","778"
"1469","frac","Mathematical Annotation in R","plotmath","grDevices","810"
"1470","getGraphicsEvent","Wait for a mouse or keyboard event from a graphics window","getGraphicsEvent","grDevices","779"
"1471","getGraphicsEventEnv","Wait for a mouse or keyboard event from a graphics window","getGraphicsEvent","grDevices","779"
"1472","graphics.off","Control Multiple Devices","dev","grDevices","765"
"1473","gray","Gray Level Specification","gray","grDevices","782"
"1474","gray.colors","Gray Color Palette","gray.colors","grDevices","783"
"1475","grDevices","The R Graphics Devices and Support for Colours and Fonts",".Device","grDevices","4"
"1476","grey","Gray Level Specification","gray","grDevices","782"
"1477","grey.colors","Gray Color Palette","gray.colors","grDevices","783"
"1478","group","Mathematical Annotation in R","plotmath","grDevices","810"
"1479","grSoftVersion","Report Versions of Graphics Software","grSoftVersion","grDevices","784"
"1480","hat","Mathematical Annotation in R","plotmath","grDevices","810"
"1481","hcl","HCL Color Specification","hcl","grDevices","785"
"1482","hcl.colors","Color Palettes","palettes","grDevices","595"
"1483","hcl.pals","Color Palettes","palettes","grDevices","595"
"1484","heat.colors","Color Palettes","palettes","grDevices","595"
"1485","Hershey","Hershey Vector Fonts in R","Hershey","grDevices","787"
"1486","hsv","HSV Color Specification","hsv","grDevices","790"
"1487","inf","Mathematical Annotation in R","plotmath","grDevices","810"
"1488","integral","Mathematical Annotation in R","plotmath","grDevices","810"
"1489","is.raster","Create a Raster Object","as.raster","grDevices","745"
"1490","italic","Mathematical Annotation in R","plotmath","grDevices","810"
"1491","Japanese","Japanese characters in R","Japanese","grDevices","791"
"1492","jpeg","BMP, JPEG, PNG and TIFF graphics devices","png","grDevices","815"
"1493","make.rgb","Create colour spaces","make.rgb","grDevices","792"
"1494","msgWindow","Manipulate a Window","msgWindow","grDevices","794"
"1495","n2mfrow","Compute Default 'mfrow' From Number of Plots","n2mfrow","grDevices","794"
"1496","nclass.FD","Compute the Number of Classes for a Histogram","nclass","grDevices","795"
"1497","nclass.scott","Compute the Number of Classes for a Histogram","nclass","grDevices","795"
"1498","nclass.Sturges","Compute the Number of Classes for a Histogram","nclass","grDevices","795"
"1499","over","Mathematical Annotation in R","plotmath","grDevices","810"
"1500","palette","Set or View the Graphics Palette","palette","grDevices","797"
"1501","palette.colors","Set or View the Graphics Palette","palette","grDevices","797"
"1502","palette.pals","Set or View the Graphics Palette","palette","grDevices","797"
"1503","pdf","PDF Graphics Device","pdf","grDevices","803"
"1504","pdf.options","Auxiliary Function to Set/View Defaults for Arguments of pdf","pdf.options","grDevices","807"
"1505","pdfFonts","PostScript and PDF Font Families","postscriptFonts","grDevices","825"
"1506","phantom","Mathematical Annotation in R","plotmath","grDevices","810"
"1507","pictex","A PicTeX Graphics Driver","pictex","grDevices","808"
"1508","plain","Mathematical Annotation in R","plotmath","grDevices","810"
"1509","plotmath","Mathematical Annotation in R","plotmath","grDevices","810"
"1510","png","BMP, JPEG, PNG and TIFF graphics devices","png","grDevices","815"
"1511","postscript","PostScript Graphics","postscript","grDevices","818"
"1512","postscriptFonts","PostScript and PDF Font Families","postscriptFonts","grDevices","825"
"1513","pretty.Date","Pretty Breakpoints for Date-Time Classes","pretty.Date","grDevices","827"
"1514","pretty.POSIXt","Pretty Breakpoints for Date-Time Classes","pretty.Date","grDevices","827"
"1515","print.recordedplot","Record and Replay Plots","recordplot","grDevices","1379"
"1516","print.SavedPlots","Windows Graphics Devices","windows","grDevices","842"
"1517","ps.options","Auxiliary Function to Set/View Defaults for Arguments of postscript","ps.options","grDevices","828"
"1518","quartz","macOS Quartz Device","quartz","grDevices","830"
"1519","quartz.options","macOS Quartz Device","quartz","grDevices","830"
"1520","quartz.save","macOS Quartz Device","quartz","grDevices","830"
"1521","quartzFont","Quartz Fonts Setup","quartzFonts","grDevices","832"
"1522","quartzFonts","Quartz Fonts Setup","quartzFonts","grDevices","832"
"1523","rainbow","Color Palettes","palettes","grDevices","595"
"1524","recordGraphics","Record Graphics Operations","recordGraphics","grDevices","833"
"1525","recordPlot","Record and Replay Plots","recordplot","grDevices","1379"
"1526","replayPlot","Record and Replay Plots","recordplot","grDevices","1379"
"1527","rgb","RGB Color Specification","rgb","grDevices","836"
"1528","rgb2hsv","RGB to HSV Conversion","rgb2hsv","grDevices","837"
"1529","ring","Mathematical Annotation in R","plotmath","grDevices","810"
"1530","savePlot","Save Windows Plot to a File","savePlot","grDevices","839"
"1531","scriptscriptstyle","Mathematical Annotation in R","plotmath","grDevices","810"
"1532","scriptstyle","Mathematical Annotation in R","plotmath","grDevices","810"
"1533","setEPS","Auxiliary Function to Set/View Defaults for Arguments of postscript","ps.options","grDevices","828"
"1534","setGraphicsEventEnv","Wait for a mouse or keyboard event from a graphics window","getGraphicsEvent","grDevices","779"
"1535","setGraphicsEventHandlers","Wait for a mouse or keyboard event from a graphics window","getGraphicsEvent","grDevices","779"
"1536","setPS","Auxiliary Function to Set/View Defaults for Arguments of postscript","ps.options","grDevices","828"
"1537","stayOnTop","Assign Focus to a Window","bringToTop","grDevices","750"
"1538","sup","Mathematical Annotation in R","plotmath","grDevices","810"
"1539","svg","Cairographics-based SVG, PDF and PostScript Graphics Devices","cairo","grDevices","751"
"1540","symbol","Mathematical Annotation in R","plotmath","grDevices","810"
"1541","terrain.colors","Color Palettes","palettes","grDevices","595"
"1542","textstyle","Mathematical Annotation in R","plotmath","grDevices","810"
"1543","tiff","BMP, JPEG, PNG and TIFF graphics devices","png","grDevices","815"
"1544","topo.colors","Color Palettes","palettes","grDevices","595"
"1545","trans3d","3D to 2D Transformation for Perspective Plots","trans3d","grDevices","840"
"1546","Type1Font","Type 1 and CID Fonts","Type1Font","grDevices","840"
"1547","underline","Mathematical Annotation in R","plotmath","grDevices","810"
"1548","widehat","Mathematical Annotation in R","plotmath","grDevices","810"
"1549","widetilde","Mathematical Annotation in R","plotmath","grDevices","810"
"1550","win.graph","Windows Graphics Devices","windows","grDevices","842"
"1551","win.metafile","Windows Graphics Devices","windows","grDevices","842"
"1552","win.print","Windows Graphics Devices","windows","grDevices","842"
"1553","windows","Windows Graphics Devices","windows","grDevices","842"
"1554","windows.options","Auxiliary Function to Set/View Defaults for Arguments of windows()","windows.options","grDevices","846"
"1555","windowsFont","Windows Fonts","windowsFonts","grDevices","847"
"1556","windowsFonts","Windows Fonts","windowsFonts","grDevices","847"
"1557","X11","X Window System Graphics (X11)","x11","grDevices","848"
"1558","x11","X Window System Graphics (X11)","x11","grDevices","848"
"1559","X11.options","X Window System Graphics (X11)","x11","grDevices","848"
"1560","X11Font","X11 Fonts","x11Fonts","grDevices","595"
"1561","X11Fonts","X11 Fonts","x11Fonts","grDevices","595"
"1562","xfig","XFig Graphics Device","xfig","grDevices","854"
"1563","xy.coords","Extracting Plotting Structures","xy.coords","grDevices","856"
"1564","xyTable","Multiplicities of (x,y) Points, e.g., for a Sunflower Plot","xyTable","grDevices","857"
"1565","xyz.coords","Extracting Plotting Structures","xyz.coords","grDevices","858"
"1566",".axisPars","Compute Pretty Axis Tick Scales","axisTicks","grDevices","747"
"1567",".ps.prolog","PostScript Graphics","postscript","grDevices","818"
"1568","[.SavedPlots","Windows Graphics Devices","windows","grDevices","842"
"1569","graphics-package","The R Graphics Package","graphics-package","graphics","861"
"1570",".filled.contour","Level (Contour) Plots","filled.contour","graphics","898"
"1571",".Pars","Set or Query Graphical Parameters","par","graphics","934"
"1572","abline","Add Straight Lines to a Plot","abline","graphics","861"
"1573","arrows","Add Arrows to a Plot","arrows","graphics","863"
"1574","asp","Set up World Coordinates for Graphics Window","plot.window","graphics","960"
"1575","assocplot","Association Plots","assocplot","graphics","864"
"1576","Axis","Generic Function to Add an Axis to a Plot","zAxis","graphics","3002"
"1577","axis","Add an Axis to a Plot","axis","graphics","867"
"1578","axis.POSIXct","Date and Date-time Plotting Functions","axis.POSIXct","graphics","870"
"1579","axTicks","Compute Axis Tickmark Locations","axTicks","graphics","871"
"1580","barplot","Bar Plots","barplot","graphics","873"
"1581","box","Draw a Box around a Plot","box","graphics","877"
"1582","boxplot","Box Plots","boxplot","graphics","878"
"1583","boxplot.matrix","Draw a Boxplot for each Column (Row) of a Matrix","boxplot.matrix","graphics","881"
"1584","bxp","Draw Box Plots from Summaries","bxp","graphics","882"
"1585","cdplot","Conditional Density Plots","cdplot","graphics","885"
"1586","clip","Set Clipping Region","clip","graphics","887"
"1587","close.screen","Creating and Controlling Multiple Screens on a Single Device","screen","graphics","973"
"1588","co.intervals","Conditioning Plots","coplot","graphics","892"
"1589","contour","Display Contours","contour","graphics","888"
"1590","coplot","Conditioning Plots","coplot","graphics","892"
"1591","curve","Draw Function Plots","curve","graphics","894"
"1592","dotchart","Cleveland's Dot Plots","dotchart","graphics","896"
"1593","erase.screen","Creating and Controlling Multiple Screens on a Single Device","screen","graphics","973"
"1594","filled.contour","Level (Contour) Plots","filled.contour","graphics","898"
"1595","fourfoldplot","Fourfold Plots","fourfoldplot","graphics","900"
"1596","frame","Create / Start a New Plot Frame","frame","graphics","902"
"1597","graphical parameter","Set or Query Graphical Parameters","par","graphics","934"
"1598","graphical parameters","Set or Query Graphical Parameters","par","graphics","934"
"1599","graphics","The R Graphics Package","graphics-package","graphics","861"
"1600","grconvertX","Convert between Graphics Coordinate Systems","convertXY","graphics","890"
"1601","grconvertY","Convert between Graphics Coordinate Systems","convertXY","graphics","890"
"1602","grid","Add Grid to a Plot","grid","graphics","1001"
"1603","hist","Histograms","hist","graphics","904"
"1604","hist.POSIXt","Histogram of a Date or Date-Time Object","hist.POSIXt","graphics","907"
"1605","identify","Identify Points in a Scatter Plot","identify","graphics","909"
"1606","image","Display a Color Image","image","graphics","911"
"1607","layout","Specifying Complex Plot Arrangements","layout","graphics","914"
"1608","lcm","Specifying Complex Plot Arrangements","layout","graphics","914"
"1609","legend","Add Legends to Plots","legend","graphics","916"
"1610","lines","Add Connected Line Segments to a Plot","lines","graphics","921"
"1611","lines.formula","Formula Notation for Scatterplots","plot.formula","graphics","955"
"1612","lines.histogram","Plot Histograms","plothistogram","graphics","1170"
"1613","lines.table","Plot Methods for 'table' Objects","plot.table","graphics","959"
"1614","locator","Graphical Input","locator","graphics","922"
"1615","matlines","Plot Columns of Matrices","matplot","graphics","923"
"1616","matplot","Plot Columns of Matrices","matplot","graphics","923"
"1617","matpoints","Plot Columns of Matrices","matplot","graphics","923"
"1618","mosaicplot","Mosaic Plots","mosaicplot","graphics","926"
"1619","mtext","Write Text into the Margins of a Plot","mtext","graphics","929"
"1620","pairs","Scatterplot Matrices","pairs","graphics","931"
"1621","panel.smooth","Simple Panel Plot","panel.smooth","graphics","934"
"1622","par","Set or Query Graphical Parameters","par","graphics","934"
"1623","pch","Add Points to a Plot","points","graphics","962"
"1624","persp","Perspective Plots","persp","graphics","943"
"1625","pie","Pie Charts","pie","graphics","947"
"1626","plot.data.frame","Plot Method for Data Frames","plot.dataframe","graphics","409"
"1627","plot.default","The Default Scatterplot Function","plot.default","graphics","950"
"1628","plot.design","Plot Univariate Effects of a Design or Model","plot.design","graphics","952"
"1629","plot.factor","Plotting Factor Variables","plot.factor","graphics","954"
"1630","plot.formula","Formula Notation for Scatterplots","plot.formula","graphics","955"
"1631","plot.function","Draw Function Plots","curve","graphics","894"
"1632","plot.histogram","Plot Histograms","plothistogram","graphics","1170"
"1633","plot.new","Create / Start a New Plot Frame","frame","graphics","902"
"1634","plot.raster","Plotting Raster Images","plot.raster","graphics","958"
"1635","plot.table","Plot Methods for 'table' Objects","plot.table","graphics","959"
"1636","plot.window","Set up World Coordinates for Graphics Window","plot.window","graphics","960"
"1637","plot.xy","Basic Internal Plot Function","plot.xy","graphics","961"
"1638","points","Add Points to a Plot","points","graphics","962"
"1639","points.formula","Formula Notation for Scatterplots","plot.formula","graphics","955"
"1640","points.table","Plot Methods for 'table' Objects","plot.table","graphics","959"
"1641","polygon","Polygon Drawing","polygon","graphics","965"
"1642","polypath","Path Drawing","polypath","graphics","967"
"1643","rasterImage","Draw One or More Raster Images","rasterImage","graphics","969"
"1644","rect","Draw One or More Rectangles","rect","graphics","970"
"1645","rug","Add a Rug to a Plot","rug","graphics","972"
"1646","screen","Creating and Controlling Multiple Screens on a Single Device","screen","graphics","973"
"1647","segments","Add Line Segments to a Plot","segments","graphics","975"
"1648","smoothScatter","Scatterplots with Smoothed Densities Color Representation","smoothScatter","graphics","976"
"1649","spineplot","Spine Plots and Spinograms","spineplot","graphics","978"
"1650","split.screen","Creating and Controlling Multiple Screens on a Single Device","screen","graphics","973"
"1651","stars","Star (Spider/Radar) Plots and Segment Diagrams","stars","graphics","980"
"1652","stem","Stem-and-Leaf Plots","stem","graphics","984"
"1653","strheight","Plotting Dimensions of Character Strings and Math Expressions","strwidth","graphics","986"
"1654","stripchart","1-D Scatter Plots","stripchart","graphics","984"
"1655","strwidth","Plotting Dimensions of Character Strings and Math Expressions","strwidth","graphics","986"
"1656","sunflowerplot","Produce a Sunflower Scatter Plot","sunflowerplot","graphics","988"
"1657","symbols","Draw Symbols (Circles, Squares, Stars, Thermometers, Boxplots)","symbols","graphics","990"
"1658","text","Add Text to a Plot","text","graphics","992"
"1659","text.formula","Formula Notation for Scatterplots","plot.formula","graphics","955"
"1660","title","Plot Annotation","title","graphics","995"
"1661","xinch","Graphical Units","units","graphics","996"
"1662","xlim","Set up World Coordinates for Graphics Window","plot.window","graphics","960"
"1663","xspline","Draw an X-spline","xspline","graphics","997"
"1664","xyinch","Graphical Units","units","graphics","996"
"1665","yinch","Graphical Units","units","graphics","996"
"1666","ylim","Set up World Coordinates for Graphics Window","plot.window","graphics","960"
"1667","grid-package","The Grid Graphics Package","grid-package","grid","1001"
"1668","absolute.size","Absolute Size of a Grob","absolute.size","grid","1002"
"1669","addGrob","Add a Grid Graphical Object","grid.add","grid","1021"
"1670","applyEdit","Create and Apply Edit Objects","gEdit","grid","1012"
"1671","applyEdits","Create and Apply Edit Objects","gEdit","grid","1012"
"1672","arcCurvature","Draw a Curve Between Locations","grid.curve","grid","1029"
"1673","arrow","Describe arrows to add to a line.","arrow","grid","1003"
"1674","as.mask","Define a Soft Mask","as.mask","grid","1003"
"1675","as.path","Stroke or Fill a Path","grid.stroke","grid","1079"
"1676","ascentDetails","Width and Height of a grid grob","widthDetails","grid","1113"
"1677","bezierGrob","Draw a Bezier Curve","grid.bezier","grid","1022"
"1678","bezierPoints","Return the points that would be used to draw an Xspline (or a Bezier curve).","xsplinePoints","grid","1117"
"1679","calcStringMetric","Calculate Metric Information for Text","calcStringMetric","grid","1004"
"1680","childNames","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046"
"1681","circleGrob","Draw a Circle","grid.circle","grid","1024"
"1682","clipGrob","Set the Clipping Region","grid.clip","grid","1025"
"1683","convertHeight","Convert Between Different grid Coordinate Systems","grid.convert","grid","1027"
"1684","convertUnit","Convert Between Different grid Coordinate Systems","grid.convert","grid","1027"
"1685","convertWidth","Convert Between Different grid Coordinate Systems","grid.convert","grid","1027"
"1686","convertX","Convert Between Different grid Coordinate Systems","grid.convert","grid","1027"
"1687","convertY","Convert Between Different grid Coordinate Systems","grid.convert","grid","1027"
"1688","current.parent","Get the Current Grid Viewport (Tree)","current.viewport","grid","595"
"1689","current.rotation","Get the Current Grid Viewport (Tree)","current.viewport","grid","595"
"1690","current.transform","Get the Current Grid Viewport (Tree)","current.viewport","grid","595"
"1691","current.viewport","Get the Current Grid Viewport (Tree)","current.viewport","grid","595"
"1692","current.vpPath","Get the Current Grid Viewport (Tree)","current.viewport","grid","595"
"1693","current.vpTree","Get the Current Grid Viewport (Tree)","current.viewport","grid","595"
"1694","curveGrob","Draw a Curve Between Locations","grid.curve","grid","1029"
"1695","dataViewport","Create a Viewport with Scales based on Data","dataViewport","grid","1006"
"1696","defineGrob","Draw a Group","grid.group","grid","1047"
"1697","defnRotate","Define a Group Transformation","viewportTransform","grid","1111"
"1698","defnScale","Define a Group Transformation","viewportTransform","grid","1111"
"1699","defnTranslate","Define a Group Transformation","viewportTransform","grid","1111"
"1700","delayGrob","Encapsulate calculations and generating a grob","grid.delay","grid","1031"
"1701","depth","Determine the number of levels in an object.","depth","grid","1007"
"1702","depth.path","Determine the number of levels in an object.","depth","grid","1007"
"1703","depth.viewport","Determine the number of levels in an object.","depth","grid","1007"
"1704","descentDetails","Width and Height of a grid grob","widthDetails","grid","1113"
"1705","deviceDim","Convert Viewport Location to Device Location","deviceLoc","grid","1008"
"1706","deviceLoc","Convert Viewport Location to Device Location","deviceLoc","grid","1008"
"1707","downViewport","Maintaining and Navigating the Grid Viewport Tree","viewports","grid","595"
"1708","drawDetails","Customising grid Drawing","drawDetails","grid","1009"
"1709","editDetails","Customising grid Editing","editDetails","grid","1010"
"1710","editGrob","Edit the Description of a Grid Graphical Object","grid.edit","grid","1035"
"1711","editViewport","Modify a Viewport","editViewport","grid","1011"
"1712","emptyCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088"
"1713","emptyGrobCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088"
"1714","emptyGTreeCoords","Create Sets of Coordinates for Grid Grobs","gridCoords","grid","1088"
"1715","engine.display.list","Control the Grid Display List","grid.display.list","grid","1032"
"1716","explode","Explode a path into its components.","explode","grid","1012"
"1717","explode.character","Explode a path into its components.","explode","grid","1012"
"1718","explode.path","Explode a path into its components.","explode","grid","1012"
"1719","fillGrob","Stroke or Fill a Path","grid.stroke","grid","1079"
"1720","fillGrob.GridPath","Stroke or Fill a Path","grid.stroke","grid","1079"
"1721","fillGrob.grob","Stroke or Fill a Path","grid.stroke","grid","1079"
"1722","fillStrokeGrob","Stroke or Fill a Path","grid.stroke","grid","1079"
"1723","fillStrokeGrob.GridPath","Stroke or Fill a Path","grid.stroke","grid","1079"
"1724","fillStrokeGrob.grob","Stroke or Fill a Path","grid.stroke","grid","1079"
"1725","forceGrob","Force a grob into its components","grid.force","grid","1036"
"1726","frameGrob","Create a Frame for Packing Objects","grid.frame","grid","1038"
"1727","functionGrob","Draw a curve representing a function","grid.function","grid","1039"
"1728","gEdit","Create and Apply Edit Objects","gEdit","grid","1012"
"1729","gEditList","Create and Apply Edit Objects","gEdit","grid","1012"
"1730","get.gpar","Handling Grid Graphical Parameters","gpar","grid","1014"
"1731","getGrob","Get a Grid Graphical Object","grid.get","grid","1041"
"1732","getNames","List the names of grobs on the display list","getNames","grid","1013"
"1733","gList","Create Grid Graphical Objects, aka ""Grob""s","grid.grob","grid","1046"
"1734","gpar","Handling Grid Graphical Parameters","gpar","grid","1014"
"1735","gPath","Concatenate Grob Names","gPath","grid","1016"
"1736","Grid","Grid Graphics","Grid","grid","1017"
"1737","grid.abline","Draw a curve representing a function","grid.function","grid","1039"
"1738","grid.add","Add a Grid Graphical Object","grid.add","grid","1021"
"1739","grid.bezier","Draw a Bezier Curve","grid.bezier","grid","1022"
"1740","grid.cap","Capture a raster image","grid.cap","grid","1023"
"1741","grid.circle","Draw a Circle","grid.circle","grid","1024"
"1742","grid.clip","Set the Clipping Region","grid.clip","grid","1025"
"1743","grid.copy","Make a Copy of a Grid Graphical Object","grid.copy","grid","1029"
"1744","grid.curve","Draw a Curve Between Locations","grid.curve","grid","1029"
"1745","grid.define","Draw a Group","grid.group","grid","1047"
"1746","grid.delay","Encapsulate calculations and generating a grob","grid.delay","grid","1031"
"1747","grid.display.list","Control the Grid Display List","grid.display.list","grid","1032"
"1748","grid.DLapply","Modify the Grid Display List","grid.DLapply","grid","1033"
"1749","grid.draw","Draw a grid grob","grid.draw","grid","1034"
"1750","grid.edit","Edit the Description of a Grid Graphical Object","grid.edit","grid","1035"
"1751","grid.fill","Stroke or Fill a Path","grid.stroke","grid","1079"
"1752","grid.fillStroke","Stroke or Fill a Path","grid.stroke","grid","1079"
"1753","grid.force","Force a grob into its components","grid.force","grid","1036"
"1754","grid.force.default","Force a grob into its components","grid.force","grid","1036"
"1755","grid.force.gPath","Force a grob into its components","grid.force","grid","1036"
"1756","grid.force.grob","Force a grob into its components","grid.force","grid","1036"
"1757","grid.frame","Create a Frame for Packing Objects","grid.frame","grid","1038"
"1758","grid.function","Draw a curve representing a function","grid.function","grid","1039"
"1759","grid.gedit","Edit the Description of a Grid Graphical Object","grid.edit","grid","1035"
"1760","grid.get","Get a Grid Graphical Object","grid.get","grid","1041"
"1761","grid.gget","Get a Grid Graphical Object","grid.get","grid","1041"
"1762","grid.grab","Grab the current grid output","grid.grab","grid","1042"
"1763","grid.grabExpr","Grab the current grid output","grid.grab","grid","1042"
"1764","grid.gremove","Remove a Grid Graphical Object","grid.remove","grid","1072"
